,CDU2KEROFL
2014-01-01 7:00,50.5
2014-01-01 22:00,51
2014-01-02 7:00,51
2014-01-03 7:00,51
2014-01-04 7:00,54
2014-01-05 7:00,54.5
2014-01-06 7:00,54.5
2014-01-07 7:00,54.5
2014-01-07 14:00,53
2014-01-08 11:00,66
2014-01-08 17:00,63
2014-01-09 7:00,63
2014-01-10 7:00,61
2014-01-11 7:00,61
2014-01-11 19:00,61
2014-01-12 7:00,61
2014-01-13 7:00,61
2014-01-13 16:00,62
2014-01-14 14:00,59
2014-01-14 19:00,62
2014-01-15 7:00,61
2014-01-16 7:00,64
2014-01-17 7:00,63
2014-01-17 14:00,55
2014-01-18 7:00,55
2014-01-19 14:00,55
2014-01-20 7:00,53.5
2014-01-21 7:00,54
2014-01-21 15:00,49
2014-01-22 7:00,42.5
2014-01-23 7:00,42.5
2014-01-24 9:00,42
2014-01-25 7:00,45
2014-01-26 7:00,47
2014-01-26 20:00,46.5
2014-01-27 7:00,44.5
2014-01-28 7:00,44.5
2014-01-29 7:00,44.5
2014-01-30 7:00,45
2014-01-30 18:00,46.5
2014-01-31 7:00,44.5
2014-01-31 19:00,54
2014-02-01 7:00,57
2014-02-02 7:00,54
2014-02-02 19:00,53
2014-02-03 7:00,53
2014-02-03 14:00,54
2014-02-04 7:00,53
2014-02-05 10:00,55
2014-02-05 16:00,54
2014-02-06 7:00,53
2014-02-07 7:00,54.5
2014-02-08 18:00,51.5
2014-02-09 7:00,51.5
2014-02-10 7:00,51
2014-02-10 11:00,66
2014-02-10 14:00,66
2014-02-11 8:00,62
2014-02-12 7:00,64
2014-02-12 19:00,64
2014-02-13 7:00,65
2014-02-13 17:30,61
2014-02-14 7:00,62
2014-02-15 7:00,64
2014-02-16 11:00,60
2014-02-16 14:00,63
2014-02-17 7:00,63
2014-02-17 16:00,63
2014-02-17 22:00,63
2014-02-18 22:00,72
2014-02-19 7:00,63
2014-02-20 7:00,64
2014-02-20 18:30,67
2014-02-21 0:00,65
2014-02-21 7:00,63
2014-02-22 7:00,63
2014-02-23 8:00,62
2014-02-24 7:00,62
2014-02-25 7:00,62
2014-02-26 7:00,61
2014-02-26 10:00,50.5
2014-02-27 7:00,48
2014-02-28 7:00,47.5
2014-03-01 7:00,46
2014-03-02 16:00,42.5
2014-03-03 7:00,44
2014-03-03 11:00,51.5
2014-03-04 7:00,53.5
2014-03-04 22:00,47.5
2014-03-05 7:00,48
2014-03-06 16:00,47
2014-03-07 7:00,45
2014-03-08 7:00,45
2014-03-09 7:00,46
2014-03-09 22:00,49.5
2014-03-10 7:00,47
2014-03-11 7:00,44
2014-03-11 11:00,58
2014-03-11 14:00,60
2014-03-11 19:00,63
2014-03-12 7:00,61
2014-03-13 7:00,63
2014-03-14 7:00,63
2014-03-15 7:00,62
2014-03-15 19:00,63
2014-03-16 7:00,60
2014-03-16 14:00,62
2014-03-17 14:00,68
2014-03-17 22:00,54
2014-03-18 7:00,54.5
2014-03-19 7:00,53.5
2014-03-20 7:00,51
2014-03-21 11:30,51
2014-03-22 7:00,51.5
2014-03-23 7:00,51.5
2014-03-23 22:00,53
2014-03-24 7:00,51.5
2014-03-25 7:00,51
2014-03-26 11:00,52
2014-03-27 7:00,50.5
2014-03-28 7:00,50.5
2014-03-28 20:00,53
2014-03-29 7:00,52.5
